index,lat,lon,province
540,24.25,106.875,Guangxi
541,24.25,107.1875,Guangxi
542,24.25,107.5,Guangxi
543,24.25,107.8125,Guangxi
544,24.25,108.125,Guangxi
545,24.25,108.4375,Guangxi
546,24.25,108.75,Guangxi
547,24.25,109.0625,Guangxi
548,24.25,109.375,Guangxi
549,24.25,109.6875,Guangxi
550,24.25,110,Guangxi
551,24.25,110.3125,Guangxi
552,24.25,110.625,Guangxi
553,24.25,110.9375,Guangxi
554,24.25,111.25,Guangxi
555,24.25,111.5625,Guangxi
556,24.25,111.875,Guangxi
557,24.25,112.1875,Guangdong
558,24.25,112.5,Guangdong
559,24.25,112.8125,Guangdong
560,24.25,113.125,Guangdong
561,24.25,113.4375,Guangdong
562,24.25,113.75,Guangdong
563,24.25,114.0625,Guangdong
564,24.25,114.375,Guangdong
565,24.25,114.6875,Guangdong
566,24.25,115,Guangdong
567,24.25,115.3125,Guangdong
568,24.25,115.625,Guangdong
569,24.25,115.9375,Guangdong
570,24.25,116.25,Guangdong
571,24.25,116.5625,Guangdong
572,24.25,116.875,Guangdong
573,24.25,117.1875,Fujian
574,24.25,117.5,Fujian
575,24.25,117.8125,Fujian
576,24.25,118.125,Fujian
577,24.5,97.8125,Yunnan
578,24.5,98.125,Yunnan
579,24.5,98.4375,Yunnan
580,24.5,98.75,Yunnan
581,24.5,99.0625,Yunnan
582,24.5,99.375,Yunnan
583,24.5,99.6875,Yunnan
584,24.5,100,Yunnan
585,24.5,100.3125,Yunnan
586,24.5,100.625,Yunnan
587,24.5,100.9375,Yunnan
588,24.5,101.25,Yunnan
589,24.5,101.5625,Yunnan
590,24.5,101.875,Yunnan
591,24.5,102.1875,Yunnan
592,24.5,102.5,Yunnan
593,24.5,102.8125,Yunnan
594,24.5,103.125,Yunnan
595,24.5,103.4375,Yunnan
596,24.5,103.75,Yunnan
597,24.5,104.0625,Yunnan
598,24.5,104.375,Yunnan
599,24.5,104.6875,Guangxi
600,24.5,105,Guangxi
601,24.5,105.3125,Guangxi
602,24.5,105.625,Guangxi
603,24.5,105.9375,Guangxi
604,24.5,106.25,Guangxi
605,24.5,106.5625,Guangxi
606,24.5,106.875,Guangxi
607,24.5,107.1875,Guangxi
608,24.5,107.5,Guangxi
609,24.5,107.8125,Guangxi
610,24.5,108.125,Guangxi
611,24.5,108.4375,Guangxi
612,24.5,108.75,Guangxi
613,24.5,109.0625,Guangxi
614,24.5,109.375,Guangxi
615,24.5,109.6875,Guangxi
616,24.5,110,Guangxi
617,24.5,110.3125,Guangxi
618,24.5,110.625,Guangxi
619,24.5,110.9375,Guangxi
620,24.5,111.25,Guangxi
621,24.5,111.5625,Guangxi
622,24.5,111.875,Guangxi
623,24.5,112.1875,Guangdong
624,24.5,112.5,Guangdong
625,24.5,112.8125,Guangdong
626,24.5,113.125,Guangdong
627,24.5,113.4375,Guangdong
628,24.5,113.75,Guangdong
629,24.5,114.0625,Guangdong
630,24.5,114.375,Guangdong
631,24.5,114.6875,Guangdong
632,24.5,115,Guangdong
633,24.5,115.3125,Guangdong
634,24.5,115.625,Guangdong
635,24.5,115.9375,Guangdong
636,24.5,116.25,Guangdong
637,24.5,116.5625,Guangdong
638,24.5,116.875,Fujian
639,24.5,117.1875,Fujian
640,24.5,117.5,Fujian
641,24.5,117.8125,Fujian
642,24.5,118.125,Fujian
643,24.5,118.4375,Fujian
644,24.75,97.8125,Yunnan
645,24.75,98.125,Yunnan
646,24.75,98.4375,Yunnan
647,24.75,98.75,Yunnan
648,24.75,99.0625,Yunnan
649,24.75,99.375,Yunnan
650,24.75,99.6875,Yunnan
651,24.75,100,Yunnan
652,24.75,100.3125,Yunnan
653,24.75,100.625,Yunnan
654,24.75,100.9375,Yunnan
655,24.75,101.25,Yunnan
656,24.75,101.5625,Yunnan
657,24.75,101.875,Yunnan
658,24.75,102.1875,Yunnan
659,24.75,102.5,Yunnan
660,24.75,102.8125,Yunnan
661,24.75,103.125,Yunnan
662,24.75,103.4375,Yunnan
663,24.75,103.75,Yunnan
664,24.75,104.0625,Yunnan
665,24.75,104.375,Yunnan
666,24.75,104.6875,Guizhou
667,24.75,105,Guangxi
668,24.75,105.3125,Guangxi
669,24.75,105.625,Guangxi
670,24.75,105.9375,Guizhou
671,24.75,106.25,Guangxi
672,24.75,106.5625,Guangxi
673,24.75,106.875,Guangxi
674,24.75,107.1875,Guangxi
675,24.75,107.5,Guangxi
676,24.75,107.8125,Guangxi
677,24.75,108.125,Guangxi
678,24.75,108.4375,Guangxi
679,24.75,108.75,Guangxi
680,24.75,109.0625,Guangxi
681,24.75,109.375,Guangxi
682,24.75,109.6875,Guangxi
683,24.75,110,Guangxi
684,24.75,110.3125,Guangxi
685,24.75,110.625,Guangxi
686,24.75,110.9375,Guangxi
687,24.75,111.25,Guangxi
688,24.75,111.5625,Hunan
689,24.75,111.875,Guangxi
690,24.75,112.1875,Guangdong
691,24.75,112.5,Guangdong
692,24.75,112.8125,Guangdong
693,24.75,113.125,Guangdong
694,24.75,113.4375,Guangdong
695,24.75,113.75,Guangdong
696,24.75,114.0625,Guangdong
697,24.75,114.375,Jiangxi
698,24.75,114.6875,Jiangxi
699,24.75,115,Jiangxi
700,24.75,115.3125,Guangdong
701,24.75,115.625,Jiangxi
702,24.75,115.9375,Guangdong
703,24.75,116.25,Guangdong
704,24.75,116.5625,Fujian
705,24.75,116.875,Fujian
706,24.75,117.1875,Fujian
707,24.75,117.5,Fujian
708,24.75,117.8125,Fujian
709,24.75,118.125,Fujian
710,24.75,118.4375,Fujian
711,24.75,118.75,Fujian
712,25,97.8125,Yunnan
713,25,98.125,Yunnan
714,25,98.4375,Yunnan
715,25,98.75,Yunnan
716,25,99.0625,Yunnan
717,25,99.375,Yunnan
718,25,99.6875,Yunnan
719,25,100,Yunnan
720,25,100.3125,Yunnan
721,25,100.625,Yunnan
722,25,100.9375,Yunnan
723,25,101.25,Yunnan
724,25,101.5625,Yunnan
725,25,101.875,Yunnan
726,25,102.1875,Yunnan
727,25,102.5,Yunnan
728,25,102.8125,Yunnan
729,25,103.125,Yunnan
730,25,103.4375,Yunnan
731,25,103.75,Yunnan
732,25,104.0625,Yunnan
733,25,104.375,Yunnan
734,25,104.6875,Yunnan
735,25,105,Guizhou
736,25,105.3125,Guizhou
737,25,105.625,Guizhou
738,25,105.9375,Guizhou
739,25,106.25,Guizhou
740,25,106.5625,Guangxi
741,25,106.875,Guangxi
742,25,107.1875,Guangxi
743,25,107.5,Guangxi
744,25,107.8125,Guangxi
745,25,108.125,Guangxi
746,25,108.4375,Guangxi
747,25,108.75,Guangxi
748,25,109.0625,Guangxi
749,25,109.375,Guangxi
750,25,109.6875,Guangxi
751,25,110,Guangxi
752,25,110.3125,Guangxi
753,25,110.625,Guangxi
754,25,110.9375,Guangxi
755,25,111.25,Guangxi
756,25,111.5625,Hunan
757,25,111.875,Hunan
758,25,112.1875,Guangdong
759,25,112.5,Guangdong
760,25,112.8125,Hunan
761,25,113.125,Guangdong
762,25,113.4375,Guangdong
763,25,113.75,Guangdong
764,25,114.0625,Guangdong
765,25,114.375,Guangdong
766,25,114.6875,Jiangxi
767,25,115,Jiangxi
768,25,115.3125,Jiangxi
769,25,115.625,Jiangxi
770,25,115.9375,Fujian
771,25,116.25,Fujian
772,25,116.5625,Fujian
773,25,116.875,Fujian
774,25,117.1875,Fujian
775,25,117.5,Fujian
776,25,117.8125,Fujian
777,25,118.125,Fujian
778,25,118.4375,Fujian
779,25,118.75,Fujian
780,25.25,98.125,Yunnan
781,25.25,98.4375,Yunnan
782,25.25,98.75,Yunnan
783,25.25,99.0625,Yunnan
784,25.25,99.375,Yunnan
785,25.25,99.6875,Yunnan
786,25.25,100,Yunnan
787,25.25,100.3125,Yunnan
788,25.25,100.625,Yunnan
789,25.25,100.9375,Yunnan
790,25.25,101.25,Yunnan
791,25.25,101.5625,Yunnan
792,25.25,101.875,Yunnan
793,25.25,102.1875,Yunnan
794,25.25,102.5,Yunnan
795,25.25,102.8125,Yunnan
796,25.25,103.125,Yunnan
797,25.25,103.4375,Yunnan
798,25.25,103.75,Yunnan
799,25.25,104.0625,Yunnan
800,25.25,104.375,Yunnan
801,25.25,104.6875,Yunnan
802,25.25,105,Guizhou
803,25.25,105.3125,Guizhou
804,25.25,105.625,Guizhou
805,25.25,105.9375,Guizhou
806,25.25,106.25,Guizhou
807,25.25,106.5625,Guizhou
808,25.25,106.875,Guizhou
809,25.25,107.1875,Guangxi
810,25.25,107.5,Guizhou
811,25.25,107.8125,Guizhou
812,25.25,108.125,Guizhou
813,25.25,108.4375,Guangxi
814,25.25,108.75,Guangxi
815,25.25,109.0625,Guangxi
816,25.25,109.375,Guangxi
817,25.25,109.6875,Guangxi
818,25.25,110,Guangxi
819,25.25,110.3125,Guangxi
820,25.25,110.625,Guangxi
821,25.25,110.9375,Guangxi
822,25.25,111.25,Hunan
823,25.25,111.5625,Hunan
824,25.25,111.875,Hunan
825,25.25,112.1875,Hunan
826,25.25,112.5,Hunan
827,25.25,112.8125,Hunan
828,25.25,113.125,Guangdong
829,25.25,113.4375,Guangdong
830,25.25,113.75,Guangdong
831,25.25,114.0625,Guangdong
832,25.25,114.375,Guangdong
833,25.25,114.6875,Guangdong
834,25.25,115,Jiangxi
835,25.25,115.3125,Jiangxi
836,25.25,115.625,Jiangxi
837,25.25,115.9375,Fujian
838,25.25,116.25,Fujian
839,25.25,116.5625,Fujian
840,25.25,116.875,Fujian
841,25.25,117.1875,Fujian
842,25.25,117.5,Fujian
843,25.25,117.8125,Fujian
844,25.25,118.125,Fujian
845,25.25,118.4375,Fujian
846,25.25,118.75,Fujian
847,25.25,119.0625,Fujian
848,25.5,98.4375,Yunnan
849,25.5,98.75,Yunnan
850,25.5,99.0625,Yunnan
851,25.5,99.375,Yunnan
852,25.5,99.6875,Yunnan
853,25.5,100,Yunnan
854,25.5,100.3125,Yunnan
855,25.5,100.625,Yunnan
856,25.5,100.9375,Yunnan
857,25.5,101.25,Yunnan
858,25.5,101.5625,Yunnan
859,25.5,101.875,Yunnan
860,25.5,102.1875,Yunnan
861,25.5,102.5,Yunnan
862,25.5,102.8125,Yunnan
863,25.5,103.125,Yunnan
864,25.5,103.4375,Yunnan
865,25.5,103.75,Yunnan
866,25.5,104.0625,Yunnan
867,25.5,104.375,Yunnan
868,25.5,104.6875,Guizhou
869,25.5,105,Guizhou
870,25.5,105.3125,Guizhou
871,25.5,105.625,Guizhou
872,25.5,105.9375,Guizhou
873,25.5,106.25,Guizhou
874,25.5,106.5625,Guizhou
875,25.5,106.875,Guizhou
876,25.5,107.1875,Guangxi
877,25.5,107.5,Guizhou
878,25.5,107.8125,Guizhou
879,25.5,108.125,Guizhou
880,25.5,108.4375,Guizhou
